Estação;Dias Validos;Dias Totais(1_1980Ate 9_2026);Porcentagem%
1043001;3804;17045;22.31739513
1043003;3256;17045;19.10237606
1043004;0;17045;0
1043006;4656;17045;27.31592842
1043007;4473;17045;26.24229979
1043009;3956;17045;23.20915224
1043010;0;17045;0
1043012;7676.7;17045;45.03373423
1044001;3841;17045;22.53446759
1044003;7395;17045;43.38515694
1044004;1979;17045;11.61044295
1044005;0;17045;0
1044006;5445;17045;31.94485186
1044007;5024;17045;29.47491933
1044008;7923.78;17045;46.48283954
1044009;3108.1;17045;18.23408624
1045000;2404;17045;14.10384277
1045001;7822;17045;45.89029041
1045002;7607;17045;44.62892344
1045005;5329;17045;31.26430038
1045006;9149.56;17045;53.67556468
1045007;1792.54;17045;10.51334702
1045008;459.05;17045;2.69287181
1045012;0;17045;0
1045013;0;17045;0
1045014;0;17045;0
1046001;10012.84;17045;58.73863303
1046002;7123.77;17045;41.78938105
1046003;0;17045;0
1046004;0;17045;0
1046005;0;17045;0
1046006;0;17045;0
1046008;0;17045;0
1046009;0;17045;0
1046010;0;17045;0
1142008;2767;17045;16.23349956
1143000;0;17045;0
1143001;4352;17045;25.5324142
1143002;16830;17045;98.73863303
1143003;0;17045;0
1143004;272;17045;1.595775887
1143005;9886.11;17045;57.99941332
1143006;0;17045;0
1143007;0;17045;0
1143008;2130;17045;12.49633324
1143009;4748;17045;27.85567615
1143010;16790.37;17045;98.50396011
1143011;0;17045;0
1143012;4688;17045;27.50366676
1143013;3622;17045;21.24963332
1143014;4027.44;17045;23.62569669
1143016;0;17045;0
1143017;0;17045;0
1143020;0;17045;0
1143021;0;17045;0
1143022;0;17045;0
1143023;0;17045;0
1143024;0;17045;0
1143025;5257.9;17045;30.84188912
1143026;0;17045;0
1143027;0;17045;0
1143028;0;17045;0
1144000;0;17045;0
1144002;2100;17045;12.32032854
1144003;4873;17045;28.58902904
1144004;0;17045;0
1144005;16301.67;17045;95.6350836
1144006;0;17045;0
1144007;4292;17045;25.18040481
1144008;3776.74;17045;22.15312408
1144009;0;17045;0
1144010;5992;17045;35.15400411
1144011;3046;17045;17.87034321
1144012;3531;17045;20.71575242
1144013;5357;17045;31.42857143
1144014;16218.3;17045;95.14813728
1144015;0;17045;0
1144016;0;17045;0
1144017;0;17045;0
1144018;0;17045;0
1144019;0;17045;0
1144020;0;17045;0
1144021;0;17045;0
1144022;0;17045;0
1144023;0;17045;0
1144024;0;17045;0
1144025;0;17045;0
1144026;0;17045;0
1144027;15370;17045;90.17307128
1145000;0;17045;0
1145001;16791.6;17045;98.50982693
1145002;5448;17045;31.96245233
1145003;2223;17045;13.04194779
1145004;16643.6;17045;97.64153711
1145005;0;17045;0
1145006;4838;17045;28.38369023
1145007;0;17045;0
1145008;0;17045;0
1145009;0;17045;0
1145010;0;17045;0
1145011;0;17045;0
1145012;5960.47;17045;34.96626577
1145013;16557.87;17045;97.13699032
1145014;16696.69;17045;97.95247873
1145015;5874;17045;34.46171898
1145016;0;17045;0
1145017;0;17045;0
1145018;0;17045;0
1145019;15071.35;17045;88.41889117
1145020;9235.4;17045;54.18011147
1145021;0;17045;0
1145022;0;17045;0
1145023;1037.02;17045;6.083895571
1145024;6545.21;17045;38.39835729
1145025;669.14;17045;3.924904664
1145026;1912.64;17045;11.2173658
1145027;0;17045;0
1145028;0;17045;0
1145029;0;17045;0
1145030;0;17045;0
1145031;0;17045;0
1145032;0;17045;0
1145033;0;17045;0
1146000;15754.77;17045;92.42593136
1146001;0;17045;0
1146002;0;17045;0
1146003;0;17045;0
1146004;0;17045;0
1146005;6920.83;17045;40.59841596
1146006;6473.02;17045;37.97594603
1146007;553.77;17045;3.244353183
1146008;1269.95;17045;7.444998533
1146009;1668.5;17045;9.785860956
1146010;1557.47;17045;9.13464359
1146011;0;17045;0
1146012;0;17045;0
1146013;0;17045;0
1146014;0;17045;0
1146015;0;17045;0
1146016;0;17045;0
1146017;0;17045;0
1146018;0;17045;0
1146020;0;17045;0
1146021;0;17045;0
1146022;0;17045;0
1146025;0;17045;0
1146026;0;17045;0
1146027;0;17045;0
1146028;0;17045;0
1146029;0;17045;0
1243000;16826.9;17045;98.71516574
1243001;0;17045;0
1243002;6208;17045;36.4212379
1243008;3411;17045;20.01173365
1243010;1979;17045;11.61044295
1243012;4842;17045;28.40715752
1243013;5418;17045;31.78644764
1243018;0;17045;0
1243019;15122.76;17045;88.71809915
1243020;7309.58;17045;42.88061015
1244000;4141;17045;24.29451452
1244001;3623;17045;21.25550015
1244002;4351;17045;25.52654737
1244003;4076;17045;23.91317102
1244004;4138;17045;24.27691405
1244005;0;17045;0
1244006;6300;17045;36.96098563
1244007;5816;17045;34.12144324
1244008;3013;17045;17.67673805
1244009;2192;17045;12.86007627
1244010;3954.77;17045;23.1974186
1244011;16695.05;17045;97.94661191
1244012;0;17045;0
1244013;6087;17045;35.7113523
1244014;0;17045;0
1244015;0;17045;0
1244016;2403;17045;14.09797595
1244017;0;17045;0
1244018;5692;17045;33.39395717
1244019;16708;17045;98.02288061
1244020;9029.22;17045;52.97154591
1244021;8398;17045;49.26958052
1244022;7334.85;17045;43.02728073
1244023;6999;17045;41.06189498
1244024;0;17045;0
1244025;0;17045;0
1244026;0;17045;0
1244027;0;17045;0
1245000;61;17045;0.35787621
1245001;4140;17045;24.2886477
1245002;0;17045;0
1245003;0;17045;0
1245004;16741.52;17045;98.21648577
1245005;16813.88;17045;98.63889704
1245006;0;17045;0
1245007;16781.56;17045;98.4511587
1245009;5878.29;17045;34.48518627
1245010;0;17045;0
1245011;0;17045;0
1245012;0;17045;0
1245014;15094.11;17045;88.5538281
1245015;14946.32;17045;87.68553828
1245016;9064.5;17045;53.17688472
1245017;8292.23;17045;48.64769727
1245018;0;17045;0
1245019;1245.12;17045;7.304194779
1245020;730.52;17045;4.282780874
1245021;0;17045;0
1245022;0;17045;0
1245023;559.15;17045;3.279554121
1245024;0;17045;0
1245025;0;17045;0
1245026;2237.24;17045;13.12408331
1245027;1639.32;17045;9.615723086
1245028;1067.92;17045;6.259900264
1245029;1871.98;17045;10.97682605
1245030;1417.74;17045;8.313288354
1245031;0;17045;0
1245032;2301.55;17045;13.49955999
1245033;2384.51;17045;13.98650631
1245034;0;17045;0
1245035;0;17045;0
1245036;0;17045;0
1245037;0;17045;0
1245038;0;17045;0
1245039;0;17045;0
1245040;0;17045;0
1245041;0;17045;0
1245042;0;17045;0
1245043;0;17045;0
1245044;0;17045;0
1245045;0;17045;0
1245046;0;17045;0
1245047;0;17045;0
1245048;0;17045;0
1245049;0;17045;0
1245050;0;17045;0
1245051;0;17045;0
1245052;0;17045;0
1245053;0;17045;0
1245054;0;17045;0
1245055;0;17045;0
1245056;0;17045;0
1245057;0;17045;0
1245058;0;17045;0
1245059;0;17045;0
1245060;0;17045;0
1245061;0;17045;0
1245062;0;17045;0
1245063;0;17045;0
1246000;16417.73;17045;96.31563508
1246001;16311.6;17045;95.69375183
1246002;0;17045;0
1246003;5298.27;17045;31.08242886
1246004;0;17045;0
1246005;603.56;17045;3.537694339
1246006;767.88;17045;4.499853329
1246007;1508.91;17045;8.847169258
1246008;6471.17;17045;37.96421238
1246009;786.66;17045;4.611322969
1246010;0;17045;0
1246011;0;17045;0
1246012;0;17045;0
1246013;0;17045;0
1246014;0;17045;0
1246015;0;17045;0
1246016;0;17045;0
1246017;0;17045;0
1246018;0;17045;0
1246019;0;17045;0
1246020;0;17045;0
1246021;0;17045;0
1246022;0;17045;0
1246023;0;17045;0
1343002;3500;17045;20.5338809
1343012;0;17045;0
1343017;6054;17045;35.51774714
1344003;3589.93;17045;21.05602816
1344005;0;17045;0
1344008;6940;17045;40.71575242
1344025;8460;17045;49.63332356
1344030;0;17045;0
1345002;8008.59;17045;46.98151951
1345005;2379.96;17045;13.95717219
1345012;0;17045;0
1345016;0;17045;0
1345017;0;17045;0
1345018;0;17045;0
1345019;0;17045;0
1346004;16177.35;17045;94.90759754
1346007;15252.62;17045;89.48078615
1346010;1162.48;17045;6.81724846
1346014;0;17045;0
1346017;0;17045;0
1346018;0;17045;0
Unnamed: 296;0;17045;0
Unnamed: 297;0;17045;0
Unnamed: 298;0;17045;0
Unnamed: 299;0;17045;0
Unnamed: 300;0;17045;0
